Message;Average power(Watts);Average frecuenzy(GHz) ;Max power(Watts);Max frecuenzy(GHz) ;Min power(Watts);Min frecuenzy(GHz) ;C2 resident;C2 count;C2 latency;C1 resident;C1 count;C1 latency;C0 resident;C0 count;C0 latency;POLL resident;POLL count;POLL latency;time
idle;39.00;0.80;40.44;0.80;37.27;0.80;;;;0.176;3572;2;7.854;;;0.001;85;0;20.02;
800000-threshold-190;43.20;0.80;44.07;0.80;41.27;0.80;;;;0.162;3145;2;22.380;;;0.001;305;0;18.88;
idle;39.39;0.80;41.65;0.80;38.51;0.80;;;;0.204;4213;2;8.716;;;0.001;123;0;20.02;
800000-threshold-195;43.02;0.80;44.36;0.80;41.03;0.80;;;;0.133;2576;2;22.128;;;0.001;124;0;18.33;
idle;39.01;0.80;40.29;0.80;38.36;0.80;;;;0.183;4138;2;8.040;;;0.001;99;0;20.02;
800000-threshold-200;43.27;0.80;44.34;0.80;41.34;0.80;;;;0.158;3870;2;23.019;;;0.002;690;0;17.64;
idle;39.11;0.80;40.61;0.80;38.07;0.80;;;;0.186;3715;2;8.280;;;0.001;147;0;20.02;
800000-threshold-205;42.99;0.80;44.14;0.80;41.03;0.80;;;;0.132;2472;2;21.917;;;0.001;133;0;18.09;
idle;39.30;0.80;42.54;0.80;37.81;0.80;;;;0.198;3760;2;8.654;;;0.001;110;0;20.02;
800000-threshold-210;44.27;0.80;45.13;0.80;43.18;0.80;;;;0.182;3005;2;28.703;;;0.001;189;0;17.73;
idle;41.48;0.80;41.84;0.80;41.05;0.80;;;;0.196;4140;2;14.422;;;0.001;153;0;20.02;
800000-threshold-215;44.39;0.80;45.67;0.80;42.20;0.80;;;;0.125;3411;2;28.756;;;0.002;490;0;17.48;
idle;41.86;0.80;44.65;0.80;41.05;0.80;;;;0.197;3739;2;14.306;;;0.001;126;0;20.02;
800000-threshold-220;44.06;0.80;44.96;0.80;42.39;0.80;;;;0.138;2387;2;28.314;;;0.001;223;0;17.42;
idle;41.33;0.80;43.29;0.80;38.43;0.80;;;;0.180;3625;2;13.751;;;0.001;131;0;20.01;
800000-threshold-225;43.27;0.80;44.44;0.80;40.90;0.80;;;;0.177;3312;2;22.701;;;0.002;605;0;16.97;
idle;39.24;0.80;40.77;0.80;37.70;0.80;;;;0.221;3735;2;8.300;;;0.001;142;0;20.02;
800000-threshold-230;43.47;0.80;44.70;0.80;41.19;0.80;;;;0.152;3433;2;24.476;;;0.003;520;0;17.39;
idle;39.02;0.80;40.48;0.80;37.71;0.80;;;;0.195;3614;2;8.109;;;0.001;104;0;20.02;
800000-threshold-235;43.28;0.80;44.24;0.80;41.16;0.80;;;;0.149;2578;2;22.775;;;0.001;101;0;17.76;
idle;39.15;0.80;40.17;0.80;37.63;0.80;;;;0.240;4043;2;8.017;;;0.001;128;0;20.02;
800000-threshold-240;43.23;0.80;45.93;0.80;41.24;0.80;;;;0.208;3916;2;23.069;;;0.003;717;0;17.11;
idle;39.22;0.80;41.34;0.80;37.52;0.80;;;;0.218;4236;2;8.525;;;0.001;140;0;20.02;
800000-threshold-245;43.32;0.80;44.49;0.80;41.16;0.80;;;;0.169;3785;2;22.659;;;0.002;572;0;17.53;
idle;39.19;0.80;41.28;0.80;37.90;0.80;;;;0.249;3930;2;8.227;;;0.001;104;0;20.02;
800000-threshold-250;43.29;0.80;44.33;0.80;40.88;0.80;;;;0.194;3514;2;22.502;;;0.002;497;0;17.68;
idle;39.13;0.80;40.39;0.80;37.76;0.80;;;;0.210;3620;2;8.161;;;0.001;88;0;20.02;
800000-threshold-255;43.30;0.80;43.97;0.80;41.16;0.80;;;;0.174;3236;2;22.143;;;0.002;529;0;17.72;
idle;39.19;0.80;40.79;0.80;38.47;0.80;;;;0.196;3901;2;8.058;;;0.001;139;0;20.02;
800000-threshold-0;42.73;0.80;43.56;0.80;41.21;0.80;;;;0.233;5683;2;21.135;;;0.002;817;0;23.07;
idle;39.25;0.80;40.66;0.80;37.42;0.80;;;;0.206;3935;2;8.277;;;0.001;186;0;20.02;
800000-threshold-5;42.86;0.80;43.54;0.80;41.44;0.80;;;;0.193;4907;2;21.594;;;0.002;686;0;22.84;
idle;39.34;0.80;40.10;0.80;38.49;0.80;;;;0.203;3890;2;8.120;;;0.001;115;0;20.02;
800000-threshold-10;42.89;0.80;43.82;0.80;41.07;0.80;;;;0.173;4103;2;22.024;;;0.001;244;0;23.15;
idle;39.30;0.80;40.67;0.80;38.07;0.80;;;;0.204;4071;2;8.090;;;0.001;117;0;20.02;
800000-threshold-15;42.80;0.80;43.72;0.80;41.44;0.80;;;;0.180;4131;2;21.228;;;0.002;638;0;23.55;
idle;39.32;0.80;40.50;0.80;38.35;0.80;;;;0.244;4207;2;8.311;;;0.001;135;0;20.02;
800000-threshold-20;42.92;0.80;43.68;0.80;41.30;0.80;;;;0.151;3894;2;22.053;;;0.001;308;0;22.54;
idle;39.36;0.80;41.61;0.80;38.20;0.80;;;;0.250;4070;2;8.477;;;0.001;101;0;20.02;
800000-threshold-25;42.97;0.80;43.78;0.80;41.33;0.80;;;;0.166;4437;2;22.126;;;0.002;549;0;22.45;
idle;38.94;0.80;40.14;0.80;37.64;0.80;;;;0.191;3376;2;7.750;;;0.001;109;0;20.02;
800000-threshold-30;42.79;0.80;43.43;0.80;41.07;0.80;;;;0.147;3496;2;21.451;;;0.001;426;0;23.37;
idle;38.98;0.80;40.17;0.80;37.15;0.80;;;;0.222;3716;2;7.959;;;0.001;99;0;20.02;
800000-threshold-35;42.74;0.80;43.57;0.80;41.12;0.80;;;;0.190;4317;2;21.521;;;0.002;661;0;23.03;
