Message;Average power(Watts);Average frecuenzy(GHz) ;Max power(Watts);Max frecuenzy(GHz) ;Min power(Watts);Min frecuenzy(GHz) ;C2 resident;C2 count;C2 latency;C1 resident;C1 count;C1 latency;C0 resident;C0 count;C0 latency;POLL resident;POLL count;POLL latency;time
idle;39.00;1.15;40.09;1.18;37.62;1.10;;;;0.290;4343;2;5.870;;;0.000;100;0;20.02;
1300000-threshold-20;44.37;1.28;45.32;1.29;42.46;1.26;;;;0.175;2155;2;19.143;;;0.001;118;0;14.45;
idle;38.91;1.15;40.09;1.21;37.34;1.09;;;;0.185;4384;2;5.785;;;0.000;100;0;20.02;
1300000-threshold-25;44.61;1.28;45.47;1.29;42.47;1.21;;;;0.204;3406;2;19.857;;;0.002;743;0;14.15;
idle;39.35;1.16;44.23;1.23;38.00;1.11;;;;0.257;4136;2;6.243;;;0.001;110;0;20.02;
1300000-threshold-30;44.38;1.28;45.24;1.29;42.32;1.23;;;;0.186;2669;2;19.542;;;0.001;103;0;14.11;
idle;39.15;1.16;42.10;1.20;37.56;1.12;;;;0.252;4314;2;5.935;;;0.001;120;0;20.02;
1300000-threshold-35;44.31;1.28;45.37;1.29;41.95;1.25;;;;0.183;2649;2;18.846;;;0.001;737;0;14.43;
idle;39.12;1.15;40.94;1.19;37.94;1.13;;;;0.295;4970;2;6.042;;;0.001;123;0;20.02;
1300000-threshold-40;44.47;1.28;45.45;1.29;42.39;1.23;;;;0.280;2810;2;19.267;;;0.001;105;0;14.22;
idle;39.13;1.16;40.96;1.23;37.82;1.12;;;;0.251;4350;2;6.261;;;0.001;119;0;20.02;
1300000-threshold-45;44.44;1.28;45.24;1.29;42.82;1.23;;;;0.209;3031;2;19.404;;;0.001;121;0;14.94;
idle;39.02;1.15;43.87;1.22;36.98;1.10;;;;0.206;4122;2;6.097;;;0.001;129;0;20.01;
1300000-threshold-50;44.27;1.28;45.45;1.30;41.94;1.20;;;;0.204;2330;2;19.219;;;0.001;90;0;14.07;
idle;38.88;1.16;41.34;1.21;37.27;1.12;;;;0.236;4335;2;5.968;;;0.001;137;0;20.02;
1300000-threshold-55;44.26;1.28;45.64;1.29;41.63;1.21;;;;0.221;2502;2;19.226;;;0.001;127;0;14.69;
idle;38.76;1.15;40.41;1.20;37.69;1.11;;;;0.308;4810;2;5.914;;;0.001;108;0;20.02;
1300000-threshold-60;44.22;1.28;45.92;1.30;41.63;1.19;;;;0.180;2405;2;19.297;;;0.001;168;0;14.21;
idle;39.16;1.16;43.26;1.22;37.95;1.13;;;;0.278;4513;2;6.267;;;0.001;234;0;20.02;
1300000-threshold-65;44.31;1.28;45.33;1.29;42.13;1.23;;;;0.199;3117;2;19.621;;;0.001;111;0;14.06;
idle;39.03;1.16;40.29;1.19;37.75;1.10;;;;0.319;5028;2;6.063;;;0.001;174;0;20.02;
1300000-threshold-70;44.27;1.27;45.19;1.29;42.30;1.22;;;;0.215;3483;2;19.273;;;0.002;932;0;14.30;
idle;39.00;1.16;40.27;1.19;37.99;1.12;;;;0.266;4793;2;5.921;;;0.001;140;0;20.02;
1300000-threshold-75;44.11;1.28;45.02;1.29;41.90;1.23;;;;0.187;2840;2;19.005;;;0.002;709;0;14.14;
idle;39.12;1.16;42.32;1.21;37.43;1.10;;;;0.268;4679;2;6.041;;;0.001;151;0;20.02;
1300000-threshold-80;44.34;1.28;45.15;1.29;42.26;1.25;;;;0.164;2619;2;19.535;;;0.001;172;0;14.44;
idle;38.97;1.15;39.90;1.21;36.58;1.09;;;;0.271;4377;2;5.891;;;0.001;117;0;20.02;
1300000-threshold-85;44.31;1.28;45.23;1.30;42.20;1.21;;;;0.223;3371;2;19.311;;;0.002;1097;0;14.55;
idle;39.13;1.16;41.38;1.21;37.70;1.11;;;;0.272;4548;2;6.140;;;0.001;140;0;20.02;
1300000-threshold-90;44.31;1.27;45.35;1.29;41.71;1.21;;;;0.179;2674;2;19.404;;;0.001;99;0;14.28;
idle;38.85;1.15;40.82;1.20;36.91;1.10;;;;0.243;4713;2;5.844;;;0.001;111;0;20.02;
1300000-threshold-95;44.46;1.28;45.92;1.30;42.35;1.24;;;;0.225;2957;2;19.875;;;0.001;113;0;14.10;
idle;39.39;1.16;43.36;1.22;38.02;1.12;;;;0.240;4450;2;6.416;;;0.001;127;0;20.01;
1300000-threshold-100;44.38;1.28;45.13;1.29;42.48;1.23;;;;0.262;2977;2;19.343;;;0.001;359;0;14.61;
idle;39.13;1.16;40.57;1.19;38.08;1.09;;;;0.298;4920;2;6.110;;;0.001;118;0;20.02;
1300000-threshold-105;44.31;1.29;45.48;1.30;42.30;1.25;;;;0.211;2802;2;19.645;;;0.001;130;0;13.88;
idle;38.93;1.14;40.00;1.19;37.29;1.09;;;;0.246;4753;2;5.998;;;0.001;126;0;20.01;
1300000-threshold-110;44.26;1.28;45.26;1.29;42.17;1.24;;;;0.237;3226;2;19.114;;;0.002;498;0;14.34;
idle;38.94;1.15;40.13;1.20;37.82;1.11;;;;0.242;4757;2;5.762;;;0.001;132;0;20.02;
1300000-threshold-115;44.59;1.28;47.90;1.30;42.05;1.21;;;;0.175;2968;2;20.044;;;0.002;859;0;14.31;
idle;38.93;1.16;40.28;1.20;37.79;1.11;;;;0.251;4457;2;5.834;;;0.001;124;0;20.02;
1300000-threshold-120;44.29;1.28;45.23;1.30;42.01;1.24;;;;0.209;3137;2;19.190;;;0.002;826;0;14.43;
idle;39.00;1.15;40.94;1.19;36.78;1.11;;;;0.270;4587;2;5.884;;;0.001;117;0;20.02;
1300000-threshold-125;44.27;1.28;45.44;1.30;41.72;1.22;;;;0.211;3429;2;19.413;;;0.002;1018;0;14.28;
idle;40.37;1.18;46.40;1.24;37.89;1.10;;;;0.287;4491;2;7.932;;;0.001;183;0;20.02;
1300000-threshold-130;44.25;1.28;45.51;1.29;41.92;1.22;;;;0.164;2305;2;19.373;;;0.001;120;0;14.08;
idle;39.01;1.16;40.34;1.22;37.33;1.10;;;;0.255;4176;2;6.058;;;0.001;142;0;20.00;
1300000-threshold-135;44.13;1.28;44.99;1.29;42.60;1.22;;;;0.174;2784;2;18.966;;;0.002;751;0;14.14;
idle;39.03;1.16;40.46;1.21;37.65;1.12;;;;0.282;4452;2;6.051;;;0.000;101;0;20.01;
1300000-threshold-140;44.29;1.28;45.53;1.29;42.30;1.21;;;;0.166;2410;2;19.032;;;0.001;129;0;14.39;
idle;38.78;1.16;39.79;1.19;37.50;1.13;;;;0.258;4394;2;5.637;;;0.001;206;0;20.02;
1300000-threshold-145;44.52;1.28;46.55;1.30;41.99;1.21;;;;0.225;3009;2;19.335;;;0.002;943;0;14.11;
idle;39.01;1.16;40.90;1.19;37.99;1.13;;;;0.267;4401;2;5.902;;;0.001;118;0;20.02;
1300000-threshold-150;44.61;1.28;45.94;1.30;41.84;1.22;;;;0.203;2744;2;19.577;;;0.001;224;0;13.61;
idle;39.02;1.15;40.30;1.20;37.59;1.11;;;;0.264;4332;2;5.959;;;0.001;123;0;20.02;
1300000-threshold-155;44.55;1.28;45.52;1.30;42.57;1.19;;;;0.216;3260;2;19.482;;;0.002;739;0;13.47;
idle;39.04;1.15;40.03;1.20;37.71;1.12;;;;0.221;4512;2;5.817;;;0.001;117;0;20.02;
1300000-threshold-160;44.58;1.28;46.02;1.30;41.71;1.21;;;;0.230;2348;2;19.767;;;0.001;140;0;13.26;
idle;39.13;1.16;41.96;1.20;38.10;1.12;;;;0.266;4265;2;6.130;;;0.001;122;0;20.02;
1300000-threshold-165;44.53;1.28;46.05;1.30;42.42;1.23;;;;0.209;2375;2;19.384;;;0.001;131;0;13.21;
idle;38.96;1.15;39.93;1.20;36.85;1.08;;;;0.288;4655;2;5.814;;;0.001;137;0;20.02;
1300000-threshold-170;44.55;1.27;45.51;1.30;41.98;1.19;;;;0.208;2494;2;19.337;;;0.001;195;0;13.61;
idle;39.10;1.16;40.46;1.19;37.91;1.10;;;;0.235;4552;2;6.053;;;0.001;128;0;20.02;
1300000-threshold-175;44.49;1.28;45.53;1.30;42.35;1.21;;;;0.190;2729;2;19.562;;;0.001;106;0;13.10;
idle;39.15;1.16;40.21;1.20;37.71;1.12;;;;0.269;4370;2;5.900;;;0.000;95;0;20.01;
1300000-threshold-180;44.54;1.28;46.70;1.30;41.96;1.23;;;;0.171;2219;2;19.773;;;0.001;127;0;12.94;
idle;39.20;1.16;40.83;1.21;37.89;1.12;;;;0.275;4332;2;6.328;;;0.000;94;0;20.02;
1300000-threshold-185;44.67;1.28;46.25;1.30;42.72;1.22;;;;0.191;2280;2;19.798;;;0.001;163;0;12.54;
idle;39.08;1.16;41.20;1.20;38.02;1.11;;;;0.230;4311;2;5.960;;;0.000;84;0;20.02;
1300000-threshold-190;44.74;1.28;46.18;1.30;42.62;1.22;;;;0.222;2732;2;19.868;;;0.002;876;0;12.38;
idle;38.97;1.15;39.96;1.19;37.44;1.11;;;;0.291;4204;2;6.011;;;0.000;108;0;20.01;
1300000-threshold-195;44.64;1.28;45.68;1.30;42.44;1.22;;;;0.220;2122;2;19.849;;;0.001;156;0;11.77;
idle;39.28;1.16;42.76;1.21;38.25;1.12;;;;0.256;4874;2;6.174;;;0.001;125;0;20.02;
1300000-threshold-200;45.17;1.29;46.38;1.30;42.62;1.24;;;;0.228;2620;2;20.481;;;0.001;136;0;11.54;
idle;39.23;1.16;40.59;1.20;38.33;1.13;;;;0.230;4578;2;5.936;;;0.001;119;0;20.02;
1300000-threshold-205;44.79;1.28;45.87;1.30;42.03;1.22;;;;0.174;2309;2;20.113;;;0.002;731;0;11.83;
idle;39.17;1.16;40.94;1.18;38.38;1.13;;;;0.282;4606;2;6.129;;;0.001;146;0;20.02;
1300000-threshold-210;45.01;1.28;46.00;1.30;42.10;1.23;;;;0.191;2762;2;20.791;;;0.003;925;0;11.54;
idle;39.03;1.16;39.91;1.18;37.46;1.12;;;;0.274;4286;2;5.809;;;0.000;100;0;20.02;
1300000-threshold-215;45.19;1.29;46.41;1.30;42.09;1.23;;;;0.204;2638;2;21.084;;;0.002;742;0;10.86;
idle;39.13;1.16;42.42;1.21;37.84;1.12;;;;0.282;4263;2;6.161;;;0.001;123;0;20.02;
1300000-threshold-220;45.13;1.28;46.64;1.30;42.60;1.22;;;;0.192;2107;2;20.716;;;0.001;107;0;10.67;
idle;39.00;1.15;40.09;1.20;38.02;1.12;;;;0.239;4357;2;5.835;;;0.001;100;0;20.02;
1300000-threshold-225;44.86;1.28;45.88;1.30;41.76;1.18;;;;0.206;1981;2;20.057;;;0.001;125;0;11.73;
idle;38.90;1.15;40.57;1.20;37.14;1.11;;;;0.244;4210;2;5.865;;;0.001;117;0;20.02;
1300000-threshold-230;44.91;1.28;46.39;1.30;42.37;1.23;;;;0.197;2405;2;20.442;;;0.002;639;0;11.26;
idle;38.96;1.16;40.05;1.19;38.12;1.12;;;;0.250;4663;2;5.985;;;0.001;128;0;20.02;
1300000-threshold-235;45.02;1.29;46.13;1.30;42.25;1.23;;;;0.251;2144;2;19.963;;;0.002;843;0;11.56;
idle;39.38;1.16;42.23;1.21;38.23;1.12;;;;0.233;4532;2;6.454;;;0.001;121;0;20.02;
1300000-threshold-240;45.08;1.29;46.02;1.30;42.52;1.24;;;;0.161;2384;2;20.441;;;0.003;1062;0;10.90;
idle;38.93;1.16;40.38;1.20;37.78;1.11;;;;0.236;4375;2;5.821;;;0.001;111;0;20.02;
1300000-threshold-245;44.76;1.29;46.01;1.30;42.19;1.24;;;;0.225;1988;2;20.061;;;0.001;97;0;11.35;
idle;38.83;1.16;40.30;1.18;37.17;1.12;;;;0.264;4578;2;5.886;;;0.000;102;0;20.02;
1300000-threshold-250;45.03;1.29;46.12;1.30;42.32;1.24;;;;0.190;2275;2;20.452;;;0.002;741;0;11.50;
idle;38.73;1.15;39.78;1.20;37.36;1.10;;;;0.227;4191;2;5.804;;;0.001;97;0;20.02;
1300000-threshold-255;45.35;1.29;48.27;1.30;42.34;1.23;;;;0.355;3084;2;21.341;;;0.003;911;0;10.62;
idle;38.84;1.15;40.20;1.20;37.10;1.10;;;;0.291;4548;2;5.894;;;0.001;106;0;20.02;
1300000-threshold-0;44.01;1.27;44.70;1.29;42.42;1.24;;;;0.266;3486;2;18.168;;;0.002;931;0;15.03;
idle;38.92;1.16;40.32;1.21;38.00;1.13;;;;0.271;4453;2;5.904;;;0.001;123;0;20.02;
1300000-threshold-5;44.38;1.27;45.12;1.30;42.44;1.20;;;;0.203;3151;2;19.439;;;0.001;468;0;14.43;
idle;38.85;1.15;40.58;1.19;37.69;1.11;;;;0.268;4396;2;5.722;;;0.001;386;0;20.02;
1300000-threshold-10;44.42;1.27;45.60;1.29;42.22;1.25;;;;0.226;3655;2;19.505;;;0.002;1047;0;14.26;
idle;39.06;1.15;41.71;1.20;37.62;1.11;;;;0.279;4495;2;6.132;;;0.001;128;0;20.01;
1300000-threshold-15;44.43;1.28;45.63;1.29;42.30;1.24;;;;0.220;2572;2;19.611;;;0.001;181;0;14.20;
idle;38.77;1.15;39.87;1.18;37.45;1.12;;;;0.271;4562;2;5.777;;;0.001;96;0;20.01;
1300000-threshold-20;44.40;1.27;45.57;1.29;42.21;1.17;;;;0.200;2451;2;19.497;;;0.001;153;0;14.26;
idle;38.92;1.15;40.65;1.20;37.18;1.09;;;;0.260;4900;2;6.155;;;0.001;321;0;20.02;
1300000-threshold-25;44.41;1.27;45.56;1.29;42.56;1.19;;;;0.220;3136;2;19.351;;;0.000;75;0;14.62;
idle;38.93;1.16;40.20;1.20;37.69;1.11;;;;0.276;4477;2;5.924;;;0.001;130;0;20.02;
1300000-threshold-30;44.51;1.28;46.82;1.29;42.03;1.24;;;;0.227;2772;2;19.551;;;0.001;121;0;14.49;
idle;39.25;1.15;41.72;1.20;37.61;1.10;;;;0.256;4945;2;6.179;;;0.001;135;0;20.02;
1300000-threshold-35;44.62;1.28;45.99;1.29;42.23;1.22;;;;0.230;3362;2;19.645;;;0.001;220;0;14.21;
idle;38.88;1.15;39.93;1.20;37.67;1.12;;;;0.284;4182;2;5.830;;;0.001;126;0;20.02;
1300000-threshold-40;44.48;1.28;45.42;1.30;41.76;1.21;;;;0.248;3237;2;19.449;;;0.001;123;0;14.40;
idle;38.99;1.15;41.16;1.19;38.01;1.12;;;;0.280;4418;2;5.943;;;0.001;105;0;20.02;
1300000-threshold-45;44.29;1.27;45.49;1.29;42.11;1.20;;;;0.191;3270;2;19.403;;;0.002;953;0;14.90;
idle;39.05;1.16;41.07;1.20;37.85;1.13;;;;0.251;4443;2;6.128;;;0.001;109;0;20.02;
1300000-threshold-50;44.45;1.28;45.82;1.29;42.28;1.23;;;;0.259;3619;2;19.597;;;0.003;1008;0;14.41;
idle;39.03;1.15;40.23;1.18;37.74;1.12;;;;0.241;4247;2;5.917;;;0.000;108;0;20.02;
1300000-threshold-55;44.51;1.28;45.60;1.29;42.09;1.25;;;;0.198;2652;2;19.392;;;0.001;114;0;14.50;
idle;38.92;1.15;40.58;1.21;37.37;1.11;;;;0.266;4307;2;6.079;;;0.000;111;0;20.01;
1300000-threshold-60;44.41;1.28;45.11;1.29;42.37;1.21;;;;0.220;2757;2;19.326;;;0.001;115;0;14.55;
idle;38.94;1.14;40.90;1.20;37.26;1.08;;;;0.232;4217;2;5.869;;;0.001;129;0;20.02;
1300000-threshold-65;44.85;1.28;46.63;1.29;42.67;1.23;;;;0.222;2699;2;20.014;;;0.001;135;0;14.41;
idle;39.10;1.16;41.04;1.20;38.04;1.12;;;;0.250;3982;2;6.063;;;0.001;111;0;20.02;
1300000-threshold-70;44.32;1.28;45.54;1.29;42.40;1.21;;;;0.208;2845;2;19.479;;;0.001;250;0;14.32;
idle;38.87;1.15;39.82;1.19;37.34;1.12;;;;0.277;4421;2;5.821;;;0.000;109;0;20.01;
1300000-threshold-75;44.35;1.28;45.57;1.29;42.26;1.21;;;;0.209;3530;2;19.527;;;0.002;873;0;15.02;
idle;39.00;1.15;41.96;1.19;37.48;1.11;;;;0.236;4198;2;5.946;;;0.001;126;0;20.02;
1300000-threshold-80;44.30;1.28;45.01;1.29;42.19;1.20;;;;0.241;3111;2;19.156;;;0.002;773;0;14.54;
idle;39.15;1.16;41.56;1.20;37.59;1.12;;;;0.242;4248;2;6.257;;;0.000;94;0;20.02;
1300000-threshold-85;44.59;1.28;45.64;1.29;42.46;1.20;;;;0.178;2083;2;19.212;;;0.001;125;0;14.73;
idle;39.09;1.16;42.41;1.19;37.62;1.11;;;;0.310;4429;2;6.121;;;0.001;121;0;20.02;
1300000-threshold-90;44.36;1.27;45.38;1.29;42.29;1.21;;;;0.189;2900;2;19.150;;;0.002;806;0;14.81;
idle;38.82;1.16;40.44;1.21;36.51;1.10;;;;0.309;4552;2;5.944;;;0.001;106;0;20.02;
1300000-threshold-95;44.44;1.28;45.66;1.29;41.98;1.21;;;;0.252;3126;2;19.603;;;0.002;593;0;14.21;
idle;38.88;1.16;41.85;1.19;37.20;1.10;;;;0.311;4274;2;5.894;;;0.001;110;0;20.02;
1300000-threshold-100;44.50;1.28;46.26;1.30;42.43;1.24;;;;0.236;2963;2;19.430;;;0.001;117;0;14.91;
idle;38.86;1.15;40.62;1.18;37.47;1.10;;;;0.289;4853;2;5.889;;;0.001;153;0;20.02;
1300000-threshold-105;44.21;1.28;45.04;1.29;42.07;1.24;;;;0.231;3049;2;19.477;;;0.002;994;0;13.98;
idle;38.75;1.15;39.77;1.19;37.87;1.12;;;;0.293;4330;2;5.947;;;0.001;118;0;20.02;
1300000-threshold-110;44.22;1.28;45.32;1.30;42.50;1.24;;;;0.173;2248;2;19.125;;;0.001;126;0;14.40;
idle;39.11;1.15;40.65;1.22;37.61;1.09;;;;0.254;4505;2;6.063;;;0.001;145;0;20.02;
1300000-threshold-115;44.40;1.27;45.11;1.29;41.90;1.17;;;;0.201;3037;2;19.230;;;0.001;122;0;14.67;
idle;39.19;1.15;41.65;1.20;37.67;1.09;;;;0.266;4401;2;6.363;;;0.001;97;0;20.02;
1300000-threshold-120;44.30;1.27;45.04;1.29;41.87;1.17;;;;0.234;3505;2;19.292;;;0.002;901;0;14.26;
idle;38.82;1.15;40.50;1.19;37.12;1.09;;;;0.276;4677;2;5.969;;;0.000;97;0;20.02;
1300000-threshold-125;44.19;1.28;45.22;1.29;41.82;1.22;;;;0.224;2702;2;19.340;;;0.001;460;0;14.29;
idle;41.35;1.21;46.15;1.28;38.21;1.13;;;;0.266;5049;2;10.215;;;0.001;154;0;20.02;
1300000-threshold-130;46.17;1.28;47.17;1.29;43.98;1.24;;;;0.209;2553;2;25.780;;;0.001;257;0;14.04;
idle;42.55;1.23;46.25;1.27;41.45;1.20;;;;0.254;4647;2;11.869;;;0.001;188;0;20.02;
1300000-threshold-135;46.27;1.30;47.62;1.30;44.35;1.29;;;;0.165;3003;2;26.196;;;0.002;850;0;14.14;
idle;42.43;1.23;46.07;1.27;38.21;1.15;;;;0.264;4488;2;11.191;;;0.000;114;0;20.01;
1300000-threshold-140;44.59;1.28;45.94;1.29;42.49;1.20;;;;0.241;2755;2;19.781;;;0.001;110;0;13.70;
idle;38.99;1.16;41.57;1.19;37.88;1.14;;;;0.231;4489;2;6.020;;;0.001;113;0;20.02;
1300000-threshold-145;44.36;1.28;45.80;1.30;41.94;1.24;;;;0.173;2204;2;19.281;;;0.001;171;0;14.15;
idle;39.13;1.16;40.55;1.21;37.58;1.13;;;;0.278;4676;2;6.216;;;0.001;122;0;20.01;
1300000-threshold-150;44.47;1.28;45.65;1.30;42.14;1.26;;;;0.228;3522;2;19.928;;;0.002;749;0;13.21;
idle;39.07;1.16;42.15;1.22;37.99;1.11;;;;0.328;4895;2;6.225;;;0.001;137;0;20.02;
1300000-threshold-155;44.66;1.28;45.75;1.29;42.32;1.22;;;;0.282;3166;2;19.758;;;0.001;164;0;13.46;
idle;38.79;1.15;40.20;1.20;37.83;1.10;;;;0.292;4098;2;5.833;;;0.001;121;0;20.01;
1300000-threshold-160;44.58;1.28;46.34;1.30;41.84;1.22;;;;0.233;2237;2;19.512;;;0.001;97;0;14.09;
idle;38.82;1.15;40.60;1.20;37.16;1.09;;;;0.298;4536;2;5.848;;;0.000;103;0;20.02;
1300000-threshold-165;44.64;1.28;45.41;1.30;42.37;1.24;;;;0.192;2786;2;19.464;;;0.002;887;0;13.61;
idle;38.80;1.15;41.92;1.21;37.21;1.11;;;;0.250;4606;2;5.934;;;0.001;131;0;20.02;
1300000-threshold-170;44.77;1.28;46.16;1.30;42.41;1.20;;;;0.235;2611;2;19.689;;;0.000;92;0;13.92;
idle;38.86;1.15;41.23;1.21;37.20;1.10;;;;0.239;4014;2;6.012;;;0.000;99;0;20.02;
1300000-threshold-175;44.52;1.28;45.56;1.30;42.17;1.23;;;;0.222;3020;2;19.763;;;0.002;818;0;13.08;
idle;38.66;1.15;41.03;1.20;37.30;1.09;;;;0.228;4739;2;5.948;;;0.001;229;0;20.02;
1300000-threshold-180;44.58;1.28;45.70;1.30;42.36;1.19;;;;0.240;3266;2;19.288;;;0.002;597;0;13.33;
idle;38.49;1.15;39.96;1.19;36.61;1.09;;;;0.189;4033;2;5.748;;;0.001;108;0;20.02;
1300000-threshold-185;44.57;1.28;45.94;1.30;41.38;1.20;;;;0.215;2650;2;19.714;;;0.002;775;0;12.59;
idle;39.15;1.16;45.26;1.24;37.31;1.10;;;;0.237;4485;2;6.548;;;0.000;95;0;20.02;
1300000-threshold-190;44.87;1.29;45.97;1.30;42.45;1.25;;;;0.250;2984;2;20.215;;;0.003;802;0;11.80;
idle;38.53;1.15;39.81;1.19;37.35;1.10;;;;0.257;4121;2;5.758;;;0.000;103;0;20.02;
1300000-threshold-195;45.03;1.29;46.47;1.30;42.46;1.24;;;;0.269;2495;2;20.564;;;0.001;117;0;11.67;
idle;38.99;1.16;42.20;1.21;37.97;1.12;;;;0.262;4085;2;6.153;;;0.001;105;0;20.02;
1300000-threshold-200;44.83;1.28;45.98;1.30;41.83;1.20;;;;0.271;2971;2;20.431;;;0.002;612;0;11.30;
idle;38.81;1.14;40.58;1.19;37.10;1.08;;;;0.305;3932;2;5.861;;;0.001;103;0;20.01;
1300000-threshold-205;45.03;1.28;46.49;1.30;41.75;1.17;;;;0.224;2792;2;20.488;;;0.003;915;0;10.90;
idle;39.24;1.16;42.71;1.20;37.69;1.12;;;;0.307;5322;2;6.363;;;0.001;124;0;20.02;
1300000-threshold-210;44.83;1.29;45.76;1.30;42.31;1.24;;;;0.275;2628;2;20.165;;;0.002;804;0;11.35;
idle;38.83;1.14;40.58;1.19;37.47;1.09;;;;0.288;4242;2;5.691;;;0.000;92;0;20.02;
1300000-threshold-215;44.87;1.29;45.82;1.30;42.43;1.24;;;;0.261;2097;2;20.254;;;0.001;95;0;11.56;
idle;39.05;1.15;42.05;1.20;37.67;1.10;;;;0.248;4193;2;5.825;;;0.000;111;0;20.02;
1300000-threshold-220;45.08;1.29;46.30;1.30;42.22;1.22;;;;0.196;2335;2;21.013;;;0.001;77;0;11.04;
idle;38.93;1.15;39.82;1.18;37.73;1.13;;;;0.251;4078;2;5.882;;;0.000;78;0;20.02;
1300000-threshold-225;45.33;1.28;46.82;1.30;42.29;1.19;;;;0.200;2222;2;21.263;;;0.001;99;0;11.32;
idle;39.09;1.16;40.94;1.21;37.23;1.11;;;;0.305;4470;2;5.940;;;0.000;85;0;20.02;
1300000-threshold-230;44.95;1.29;45.79;1.30;42.04;1.24;;;;0.251;2605;2;20.399;;;0.002;662;0;10.99;
idle;38.97;1.16;40.70;1.20;37.98;1.12;;;;0.247;4862;2;5.995;;;0.001;131;0;20.02;
1300000-threshold-235;44.89;1.29;45.99;1.30;42.50;1.23;;;;0.262;2247;2;20.409;;;0.001;116;0;11.06;
idle;38.98;1.15;41.78;1.19;37.11;1.10;;;;0.273;4698;2;5.961;;;0.000;100;0;20.02;
1300000-threshold-240;44.98;1.29;46.45;1.30;42.10;1.24;;;;0.216;1848;2;20.475;;;0.001;99;0;10.97;
idle;38.84;1.15;40.38;1.20;37.60;1.11;;;;0.270;3843;2;5.767;;;0.001;113;0;20.02;
1300000-threshold-245;45.12;1.28;47.59;1.30;41.70;1.21;;;;0.309;3237;2;21.235;;;0.003;1014;0;11.09;
idle;38.92;1.15;40.68;1.19;37.42;1.11;;;;0.296;4137;2;5.826;;;0.001;118;0;20.02;
1300000-threshold-250;44.61;1.28;45.79;1.30;41.27;1.21;;;;0.190;2118;2;20.476;;;0.001;125;0;11.09;
idle;38.87;1.15;40.81;1.20;37.63;1.10;;;;0.259;4694;2;5.942;;;0.001;138;0;20.02;
1300000-threshold-255;44.87;1.29;45.83;1.30;42.19;1.24;;;;0.216;1927;2;20.536;;;0.001;120;0;10.69;
idle;38.76;1.16;40.14;1.21;37.36;1.11;;;;0.254;4308;2;5.832;;;0.000;103;0;20.02;
1300000-threshold-0;43.94;1.28;45.24;1.30;42.24;1.25;;;;0.245;3290;2;18.235;;;0.001;132;0;14.74;
idle;39.07;1.16;41.37;1.22;37.28;1.10;;;;0.274;4492;2;6.153;;;0.000;112;0;20.02;
1300000-threshold-5;44.53;1.28;45.51;1.29;42.45;1.26;;;;0.228;2967;2;19.236;;;0.002;637;0;14.70;
idle;39.04;1.15;40.27;1.21;37.57;1.11;;;;0.297;4707;2;6.019;;;0.001;112;0;20.02;
1300000-threshold-10;44.34;1.28;45.23;1.29;42.21;1.24;;;;0.166;3031;2;19.389;;;0.002;1053;0;14.45;
idle;38.80;1.16;40.07;1.20;37.74;1.13;;;;0.236;4479;2;6.196;;;0.001;128;0;20.02;
1300000-threshold-15;44.49;1.28;45.29;1.29;42.24;1.23;;;;0.205;3147;2;19.543;;;0.002;861;0;14.41;
idle;38.70;1.15;39.66;1.19;37.36;1.11;;;;0.269;4747;2;5.823;;;0.001;106;0;20.02;
1300000-threshold-20;44.45;1.28;45.53;1.29;42.27;1.22;;;;0.184;2962;2;19.414;;;0.002;735;0;14.74;
idle;38.90;1.16;41.70;1.20;37.39;1.12;;;;0.305;4393;2;6.016;;;0.001;129;0;20.02;
1300000-threshold-25;44.22;1.28;45.39;1.30;42.37;1.24;;;;0.252;3264;2;19.435;;;0.001;136;0;14.11;
idle;38.85;1.16;40.69;1.20;37.85;1.11;;;;0.273;4642;2;5.940;;;0.001;110;0;20.02;
1300000-threshold-30;44.32;1.28;45.39;1.29;42.45;1.23;;;;0.195;3221;2;19.454;;;0.001;134;0;14.21;
idle;39.09;1.16;41.86;1.20;37.55;1.11;;;;0.260;4622;2;6.104;;;0.000;102;0;20.02;
1300000-threshold-35;44.31;1.28;45.44;1.29;41.99;1.23;;;;0.210;2552;2;19.196;;;0.000;85;0;14.13;
idle;39.23;1.16;44.21;1.21;37.55;1.13;;;;0.299;4957;2;6.411;;;0.001;154;0;20.00;
1300000-threshold-40;44.38;1.28;45.56;1.29;42.24;1.23;;;;0.253;2953;2;19.376;;;0.002;681;0;14.37;
idle;39.04;1.15;40.69;1.19;36.78;1.09;;;;0.237;4355;2;6.137;;;0.001;110;0;20.02;
1300000-threshold-45;44.50;1.28;45.49;1.29;42.31;1.25;;;;0.217;2882;2;19.461;;;0.000;83;0;14.84;
idle;38.79;1.15;40.45;1.18;37.61;1.12;;;;0.198;4649;2;5.803;;;0.000;97;0;20.02;
1300000-threshold-50;44.46;1.28;45.18;1.29;42.16;1.23;;;;0.158;2575;2;19.699;;;0.000;73;0;14.53;
idle;38.93;1.15;41.75;1.22;37.31;1.11;;;;0.232;4385;2;6.058;;;0.001;113;0;20.00;
1300000-threshold-55;44.60;1.28;48.17;1.29;41.90;1.22;;;;0.213;2913;2;20.114;;;0.001;298;0;14.16;
idle;38.84;1.16;40.43;1.18;37.63;1.11;;;;0.283;4687;2;5.897;;;0.001;139;0;20.01;
