Message;Average power(Watts);Average frecuenzy(GHz) ;Max power(Watts);Max frecuenzy(GHz) ;Min power(Watts);Min frecuenzy(GHz) ;C2 resident;C2 count;C2 latency;C1 resident;C1 count;C1 latency;C0 resident;C0 count;C0 latency;POLL resident;POLL count;POLL latency;time;
idle;39.29;0.95;42.31;0.97;37.82;0.94;;;;0.175;3889;2;7.180;;;0.001;206;0;20.02;
1000000-threshold-50;50.45;1.00;53.08;1.00;43.00;0.99;;;;0.100;6391;2;48.077;;;0.002;2396;0;49.38;
idle;39.45;0.95;41.40;0.98;37.48;0.94;;;;0.242;4367;2;7.319;;;0.001;136;0;20.02;
1000000-threshold-100;46.84;1.00;49.79;1.00;44.05;1.00;;;;0.153;15245;2;32.136;;;0.002;3402;0;80.88;
idle;39.28;0.95;40.59;0.97;38.01;0.94;;;;0.245;3940;2;6.962;;;0.001;102;0;20.02;
1000000-threshold-150;47.13;1.00;50.39;1.00;41.47;0.97;;;;0.162;14035;2;32.429;;;0.002;3142;0;75.41;
idle;39.82;0.96;43.27;0.98;38.70;0.94;;;;0.241;4268;2;7.619;;;0.000;112;0;20.02;
1000000-threshold-0;49.69;1.00;51.21;1.00;42.16;0.97;;;;0.131;7782;2;44.888;;;0.003;2845;0;54.60;
idle;39.49;0.95;43.06;0.98;38.22;0.93;;;;0.189;4070;2;7.043;;;0.000;90;0;20.02;
1000000-threshold-50;47.07;1.00;50.31;1.00;43.18;0.99;;;;0.148;15393;2;32.676;;;0.002;3508;0;80.68;
idle;39.49;0.95;40.52;0.98;38.02;0.93;;;;0.190;3881;2;7.152;;;0.001;113;0;20.02;
1000000-threshold-100;47.02;1.00;50.31;1.00;43.11;0.99;;;;0.155;13469;2;32.081;;;0.002;2664;0;80.70;
idle;39.46;0.95;40.69;0.97;37.62;0.93;;;;0.236;4270;2;7.103;;;0.001;98;0;20.02;
1000000-threshold-150;46.81;1.00;50.02;1.00;43.83;1.00;;;;0.180;15762;2;32.068;;;0.002;4035;0;78.71;
idle;39.47;0.95;41.22;0.97;37.56;0.93;;;;0.218;4156;2;6.900;;;0.000;87;0;20.02;
1000000-threshold-0;46.63;1.00;48.86;1.00;44.03;0.99;;;;0.155;15658;2;31.840;;;0.002;4049;0;85.01;
idle;39.68;0.95;42.43;0.97;38.78;0.94;;;;0.203;3681;2;7.231;;;0.001;90;0;20.02;
1000000-threshold-50;46.41;1.00;49.59;1.00;42.64;0.99;;;;0.147;15308;2;30.739;;;0.002;3264;0;88.26;
idle;39.66;0.95;42.92;0.97;38.15;0.93;;;;0.198;4161;2;7.239;;;0.001;123;0;20.02;
1000000-threshold-100;46.84;1.00;49.68;1.00;44.27;0.99;;;;0.147;14552;2;31.731;;;0.002;3376;0;81.46;
idle;39.52;0.96;41.26;0.97;38.10;0.94;;;;0.193;4141;2;7.333;;;0.001;89;0;20.02;
1000000-threshold-150;46.69;1.00;49.73;1.00;41.55;0.97;;;;0.117;13147;2;31.004;;;0.002;3239;0;80.22;
idle;39.67;0.96;41.72;0.97;38.31;0.93;;;;0.233;3989;2;7.609;;;0.001;98;0;20.02;
1000000-threshold-0;46.72;1.00;49.04;1.00;42.85;0.98;;;;0.167;16235;2;31.918;;;0.002;3784;0;86.49;
idle;39.41;0.95;41.05;0.98;38.44;0.94;;;;0.220;4059;2;7.073;;;0.001;98;0;20.02;
1000000-threshold-50;46.83;1.00;49.49;1.00;42.18;0.97;;;;0.172;16608;2;31.992;;;0.002;4019;0;82.98;
idle;39.54;0.95;41.38;0.97;37.82;0.93;;;;0.196;3825;2;7.193;;;0.001;96;0;20.02;
1000000-threshold-100;44.76;1.00;45.58;1.00;42.21;0.98;;;;0.173;22267;2;23.436;;;0.001;4039;0;125.09;
idle;39.44;0.96;41.02;0.98;38.51;0.94;;;;0.242;4775;2;7.217;;;0.001;124;0;20.02;
1000000-threshold-150;50.68;1.00;52.94;1.00;43.25;0.98;;;;0.115;5815;2;49.184;;;0.003;2672;0;45.18;
idle;39.30;0.95;40.89;0.97;38.18;0.94;;;;0.230;4546;2;6.968;;;0.001;297;0;20.01;
1000000-threshold-0;49.70;1.00;51.54;1.00;42.11;0.98;;;;0.139;7190;2;44.645;;;0.002;2364;0;55.15;
idle;39.47;0.95;41.22;0.97;37.63;0.93;;;;0.267;4568;2;7.239;;;0.001;125;0;20.02;
1000000-threshold-50;45.00;1.00;46.48;1.00;42.92;0.99;;;;0.176;26263;2;24.516;;;0.002;4150;0;119.27;
idle;39.66;0.96;42.13;0.98;38.67;0.94;;;;0.286;4131;2;7.389;;;0.001;93;0;20.02;
1000000-threshold-100;50.68;1.00;53.10;1.00;42.99;0.99;;;;0.123;6232;2;48.630;;;0.003;2371;0;47.05;
idle;39.38;0.95;40.66;0.97;38.26;0.94;;;;0.170;3266;2;6.834;;;0.001;111;0;20.02;
