Message;Average power(Watts);Average frecuenzy(GHz) ;Max power(Watts);Max frecuenzy(GHz) ;Min power(Watts);Min frecuenzy(GHz) ;C2 resident;C2 count;C2 latency;C1 resident;C1 count;C1 latency;C0 resident;C0 count;C0 latency;POLL resident;POLL count;POLL latency;time;
idle;50.31;1.36;52.29;1.48;47.77;1.25;;;;0.285;4757;2;4.928;;;0.001;239;0;20.02;
1700000-threshold-150;61.53;1.63;64.65;1.70;58.11;1.59;;;;0.267;13082;2;30.599;;;0.004;6720;0;50.76;
idle;49.82;1.37;52.17;1.51;47.24;1.26;;;;0.385;5722;2;4.808;;;0.001;252;0;20.02;
1700000-threshold-0;60.94;1.64;63.54;1.69;56.36;1.58;;;;0.225;12455;2;29.752;;;0.004;7075;0;57.62;
idle;49.87;1.37;52.15;1.52;47.76;1.28;;;;0.403;5460;2;4.819;;;0.001;187;0;20.02;
1700000-threshold-50;58.63;1.66;59.99;1.70;56.08;1.56;;;;0.311;21531;2;22.114;;;0.002;6975;0;79.45;
idle;49.78;1.36;52.44;1.45;47.95;1.31;;;;0.304;5363;2;4.773;;;0.001;429;0;20.02;
1700000-threshold-100;60.95;1.64;64.07;1.70;57.69;1.59;;;;0.259;12820;2;29.612;;;0.004;7108;0;53.99;
idle;49.98;1.38;51.85;1.49;48.67;1.29;;;;0.354;5773;2;4.814;;;0.001;633;0;20.02;
1700000-threshold-150;61.19;1.64;64.63;1.70;56.14;1.57;;;;0.273;13969;2;29.578;;;0.003;6109;0;54.10;
idle;50.48;1.37;52.40;1.54;48.10;1.27;;;;0.317;5145;2;5.033;;;0.000;129;0;20.01;
1700000-threshold-0;61.49;1.63;64.22;1.70;56.49;1.57;;;;0.221;13761;2;30.713;;;0.004;7064;0;55.38;
idle;50.04;1.36;51.23;1.41;48.20;1.30;;;;0.305;5028;2;4.691;;;0.001;163;0;20.02;
1700000-threshold-50;61.21;1.64;64.11;1.70;58.04;1.60;;;;0.287;15244;2;30.346;;;0.004;7338;0;53.78;
idle;50.54;1.38;52.68;1.49;48.72;1.28;;;;0.390;5900;2;5.057;;;0.001;160;0;20.01;
1700000-threshold-100;60.91;1.64;64.01;1.70;57.27;1.60;;;;0.251;12818;2;29.259;;;0.003;5578;0;56.75;
idle;50.24;1.37;52.02;1.46;48.61;1.31;;;;0.394;5439;2;4.845;;;0.001;278;0;20.02;
1700000-threshold-150;66.83;1.58;68.88;1.70;59.45;1.54;;;;0.169;5703;2;48.710;;;0.005;6080;0;30.23;
idle;49.87;1.36;51.75;1.46;47.94;1.27;;;;0.312;4966;2;4.519;;;0.001;212;0;20.02;
1700000-threshold-0;61.46;1.64;64.25;1.70;57.74;1.60;;;;0.233;14571;2;30.738;;;0.003;5781;0;56.15;
idle;50.44;1.37;54.42;1.55;48.88;1.29;;;;0.349;5604;2;5.023;;;0.000;119;0;20.02;
1700000-threshold-50;60.93;1.64;64.27;1.70;55.33;1.53;;;;0.233;13088;2;29.751;;;0.004;7282;0;55.16;
idle;50.40;1.36;52.45;1.46;48.87;1.27;;;;0.390;5683;2;4.721;;;0.000;135;0;20.02;
1700000-threshold-100;66.71;1.58;68.81;1.70;59.73;1.54;;;;0.156;5891;2;47.755;;;0.004;5178;0;31.91;
idle;50.43;1.37;51.39;1.55;48.25;1.29;;;;0.323;5111;2;4.999;;;0.001;133;0;20.02;
1700000-threshold-150;58.88;1.66;60.48;1.70;55.85;1.62;;;;0.304;21021;2;22.269;;;0.003;7594;0;76.40;
idle;50.13;1.35;51.39;1.42;48.09;1.26;;;;0.401;4725;2;4.620;;;0.000;104;0;20.02;
1700000-threshold-0;58.98;1.66;60.58;1.70;56.59;1.58;;;;0.327;24591;2;22.085;;;0.003;8257;0;83.64;
idle;50.03;1.36;51.80;1.46;47.28;1.29;;;;0.403;5297;2;4.577;;;0.000;145;0;20.02;
1700000-threshold-50;61.35;1.64;64.34;1.70;57.59;1.60;;;;0.248;14063;2;30.003;;;0.004;7239;0;55.83;
idle;50.61;1.37;52.29;1.44;48.95;1.29;;;;0.362;4827;2;4.801;;;0.001;172;0;20.01;
1700000-threshold-100;61.21;1.64;64.15;1.70;55.98;1.58;;;;0.221;12184;2;30.428;;;0.004;7257;0;52.60;
idle;50.70;1.36;52.51;1.46;48.54;1.29;;;;0.364;5591;2;4.921;;;0.001;244;0;20.02;
1700000-threshold-150;66.51;1.58;68.52;1.70;56.67;1.54;;;;0.155;6236;2;47.324;;;0.005;5825;0;31.48;
idle;50.54;1.37;52.29;1.43;49.16;1.30;;;;0.276;4895;2;4.757;;;0.001;161;0;20.02;
1700000-threshold-0;61.19;1.64;63.68;1.70;56.21;1.58;;;;0.237;14384;2;30.289;;;0.003;6421;0;55.53;
idle;50.72;1.38;52.38;1.50;49.54;1.27;;;;0.322;5631;2;4.991;;;0.001;159;0;20.02;
1700000-threshold-50;61.09;1.64;63.93;1.70;55.20;1.53;;;;0.277;13610;2;30.332;;;0.004;7094;0;54.19;
idle;50.00;1.37;52.20;1.48;47.14;1.25;;;;0.396;5313;2;4.673;;;0.001;157;0;20.02;
1700000-threshold-100;61.34;1.64;64.20;1.70;55.69;1.60;;;;0.267;13329;2;30.407;;;0.004;7567;0;52.53;
idle;50.27;1.36;53.01;1.49;48.33;1.29;;;;0.363;5282;2;5.011;;;0.001;138;0;20.02;
1700000-threshold-150;66.64;1.58;68.76;1.70;56.88;1.54;;;;0.167;5006;2;48.419;;;0.005;5118;0;30.09;
