Message;Average power(Watts);Average frecuenzy(GHz) ;Max power(Watts);Max frecuenzy(GHz) ;Min power(Watts);Min frecuenzy(GHz) ;C2 resident;C2 count;C2 latency;C1 resident;C1 count;C1 latency;C0 resident;C0 count;C0 latency;POLL resident;POLL count;POLL latency;time;
800000-threshold-245;46.91;0.80;48.25;0.80;43.33;0.80;;;;0.156;8721;2;39.676;;;0.004;3077;0;31.42;
idle;39.48;0.80;41.13;0.80;38.40;0.80;;;;0.231;4455;2;8.510;;;0.001;155;0;20.02;
800000-threshold-250;47.45;0.80;50.79;0.80;42.44;0.80;;;;0.146;7000;2;41.791;;;0.004;2196;0;30.31;
idle;39.55;0.80;40.57;0.80;38.57;0.80;;;;0.196;3905;2;8.196;;;0.001;109;0;20.02;
800000-threshold-255;45.24;0.80;47.96;0.80;43.68;0.80;;;;0.162;11837;2;30.708;;;0.003;3202;0;47.90;
idle;39.67;0.80;40.80;0.80;37.89;0.80;;;;0.207;4070;2;8.511;;;0.001;149;0;20.02;
800000-threshold-0;47.21;0.80;49.93;0.80;43.62;0.80;;;;0.111;6973;2;41.460;;;0.004;2544;0;35.99;
idle;39.75;0.80;40.86;0.80;38.59;0.80;;;;0.188;3748;2;8.531;;;0.001;123;0;20.02;
800000-threshold-5;45.08;0.80;47.13;0.80;42.71;0.80;;;;0.160;12569;2;30.868;;;0.002;2576;0;55.17;
idle;39.76;0.80;41.96;0.80;38.06;0.80;;;;0.215;4337;2;8.769;;;0.001;133;0;20.02;
800000-threshold-10;46.95;0.80;49.59;0.80;43.52;0.80;;;;0.134;7853;2;41.490;;;0.004;2655;0;37.52;
idle;39.52;0.80;40.75;0.80;37.92;0.80;;;;0.222;3999;2;8.077;;;0.001;120;0;20.02;
800000-threshold-15;44.78;0.80;47.62;0.80;43.14;0.80;;;;0.129;10379;2;29.695;;;0.002;2471;0;59.00;
idle;39.84;0.80;41.46;0.80;38.90;0.80;;;;0.218;4179;2;8.550;;;0.001;117;0;20.02;
800000-threshold-20;45.20;0.80;47.73;0.80;43.64;0.80;;;;0.137;10837;2;31.079;;;0.002;2274;0;56.03;
idle;39.56;0.80;40.46;0.80;38.81;0.80;;;;0.173;3753;2;8.153;;;0.001;91;0;20.02;
800000-threshold-25;44.69;0.80;47.28;0.80;42.69;0.80;;;;0.134;10965;2;29.560;;;0.002;2679;0;59.50;
idle;39.49;0.80;41.18;0.80;38.46;0.80;;;;0.167;3835;2;8.369;;;0.001;110;0;20.01;
800000-threshold-30;47.25;0.80;50.02;0.80;43.46;0.80;;;;0.110;6480;2;41.992;;;0.003;2136;0;36.41;
idle;39.57;0.80;40.99;0.80;38.61;0.80;;;;0.188;3938;2;8.453;;;0.001;117;0;20.02;
800000-threshold-35;47.14;0.80;49.71;0.80;42.94;0.80;;;;0.098;7139;2;42.214;;;0.003;2482;0;36.29;
idle;39.56;0.80;41.62;0.80;37.92;0.80;;;;0.196;3873;2;8.345;;;0.001;106;0;20.02;
800000-threshold-40;47.11;0.80;49.71;0.80;43.21;0.80;;;;0.136;6678;2;42.131;;;0.002;1749;0;36.32;
idle;40.17;0.80;42.40;0.80;37.77;0.80;;;;0.218;3983;2;10.133;;;0.001;137;0;20.02;
800000-threshold-45;47.17;0.80;50.07;0.80;43.50;0.80;;;;0.141;7306;2;41.098;;;0.003;1962;0;38.02;
idle;39.71;0.80;41.39;0.80;38.43;0.80;;;;0.226;3877;2;8.310;;;0.001;109;0;20.02;
800000-threshold-50;46.91;0.80;47.67;0.80;44.60;0.80;;;;0.119;8666;2;41.258;;;0.003;3160;0;36.88;
idle;39.77;0.80;41.42;0.80;38.49;0.80;;;;0.224;4099;2;8.480;;;0.000;87;0;20.02;
800000-threshold-55;45.26;0.80;47.72;0.80;43.70;0.80;;;;0.156;12002;2;31.189;;;0.002;2458;0;55.02;
idle;39.66;0.80;40.98;0.80;38.60;0.80;;;;0.201;3955;2;8.172;;;0.001;103;0;20.02;
800000-threshold-60;43.88;0.80;45.91;0.80;42.53;0.80;;;;0.156;15299;2;25.222;;;0.002;2485;0;76.42;
idle;39.57;0.80;41.32;0.80;38.03;0.80;;;;0.175;3869;2;8.105;;;0.001;125;0;20.02;
800000-threshold-65;46.91;0.80;50.00;0.80;43.16;0.80;;;;0.086;6407;2;40.380;;;0.003;1736;0;38.50;
idle;39.53;0.80;40.94;0.80;38.25;0.80;;;;0.178;4096;2;8.155;;;0.001;137;0;20.01;
